image_id,algorithm,W,H,S_raw,S_encoded,CR,saving_percent,bpp,T_enc,T_decode,T_total,PeakRSS,PeakRSS_additional,PSNR,SSIM,lossless_exact
1103,LZW,512,384,589824,569967,1.0348388590918423,3.366597493489587,23.1920166015625,0.006124537000232522,0.002877446000184136,0.009001983000416658,258764,0,inf,1.0,True
1103,Slepian-Wolf,512,384,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.10973556999988432,0.744884082000226,0.8546196520001104,258764,0,40.10187496926977,0.9952262461588971,False
1103,Wyner-Ziv,512,384,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.11447832000021663,0.7694553169999381,0.8839336370001547,258764,0,33.48744454390952,0.9045228219548456,False
1104,JPEG,512,384,589824,55225,10.680380262562245,90.63703748914931,2.2471110026041665,0.0010376390000601532,0.0011966120000579394,0.0022342510001180926,258764,0,31.892875391436142,0.9240866152267179,False
1104,Huffman,512,384,589824,572014,1.0311356015761852,3.019544813368058,23.275309244791668,0.04067081199991662,0.11447449600018444,0.15514530800010107,258764,0,inf,1.0,True
1104,LZW,512,384,589824,628133,0.939011324034878,-6.494988335503482,25.558797200520832,0.005879054999695654,0.002669139000317955,0.00854819400001361,258764,0,inf,1.0,True
1104,Slepian-Wolf,512,384,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.10915449300000546,1.5815141489997586,1.690668641999764,258764,0,30.981588873193175,0.9743839323348683,False
1104,Wyner-Ziv,512,384,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.11380466199989314,1.7779866340001718,1.891791296000065,258764,0,29.502863534129467,0.899666246122536,False
1105,JPEG,384,512,589824,54129,10.896635814443274,90.82285563151041,2.2025146484375,0.0010436259999551112,0.0011212019999220502,0.0021648279998771613,258764,0,31.967462632708923,0.9191049705527116,False
1105,Huffman,384,512,589824,572344,1.0305410732007325,2.963595920138884,23.288736979166668,0.03981572700013203,0.11468249300014577,0.1544982200002778,258764,0,inf,1.0,True
1105,LZW,384,512,589824,620579,0.9504414425882926,-5.214267306857634,25.251424153645832,0.0057154470000568836,0.0027807840001514705,0.008496231000208354,258764,0,inf,1.0,True
