timestamp,node_id,image_id,algorithm,profile,psnr_db,ssim,mask_iou,mask_dice,cpu_time_ms,memory_kb,compressed_bytes,compression_ratio
2026-08-30T07:58:15.688044,1,img_0088,ADRES,E,18.275,0.7068,0.5494,0.7092,2147.628,41620.0,38545.0,23.91
2026-08-30T07:58:23.285131,1,img_0089,ADRES,Q,21.561,0.7996,0.7272,0.8421,3143.806,41620.0,87961.0,10.48
2026-08-30T07:58:23.285131,1,img_0089,ADRES,E,19.455,0.7124,0.7272,0.8421,2782.625,41620.0,52679.0,17.49
2026-08-30T07:58:31.185280,1,img_0090,ADRES,Q,21.501,0.8,0.7272,0.8421,3199.051,41620.0,89258.0,10.33
2026-08-30T07:58:31.185280,1,img_0090,ADRES,E,19.374,0.7097,0.7272,0.8421,2835.111,41620.0,52937.0,17.41
2026-08-30T07:58:38.866245,1,img_0091,ADRES,Q,21.564,0.7989,0.7272,0.8421,3222.736,41620.0,89806.0,10.26
2026-08-30T07:58:38.866245,1,img_0091,ADRES,E,19.464,0.7119,0.7272,0.8421,2868.872,41620.0,54050.0,17.05
2026-08-30T07:58:46.493344,1,img_0092,ADRES,Q,21.534,0.7987,0.7272,0.8421,3150.239,41620.0,88798.0,10.38
2026-08-30T07:58:46.493344,1,img_0092,ADRES,E,19.403,0.7113,0.7272,0.8421,2805.302,41620.0,53874.0,17.11
2026-08-30T07:58:54.069590,1,img_0093,ADRES,Q,21.832,0.8105,0.7368,0.8485,3134.095,41620.0,88446.0,10.42
2026-08-30T07:58:54.069590,1,img_0093,ADRES,E,18.749,0.7265,0.7368,0.8485,2765.816,41620.0,54688.0,16.85
2026-08-30T07:59:01.942108,1,img_0094,ADRES,Q,21.831,0.8114,0.7368,0.8485,3119.315,41620.0,89141.0,10.34
2026-08-30T07:59:01.942108,1,img_0094,ADRES,E,18.743,0.7238,0.7368,0.8485,2884.307,41620.0,54889.0,16.79
2026-08-30T07:59:09.584899,1,img_0095,ADRES,Q,21.856,0.8113,0.7368,0.8485,3103.993,41620.0,89191.0,10.33
2026-08-30T07:59:09.584899,1,img_0095,ADRES,E,18.771,0.7262,0.7368,0.8485,2808.078,41620.0,55317.0,16.66
2026-08-30T07:59:17.300537,1,img_0096,ADRES,Q,21.842,0.8104,0.7368,0.8485,3123.896,41620.0,88962.0,10.36
2026-08-30T07:59:17.300537,1,img_0096,ADRES,E,18.724,0.7252,0.7368,0.8485,2816.078,41620.0,54884.0,16.79
2026-08-30T07:59:24.307208,1,img_0097,ADRES,Q,22.59,0.7665,0.7464,0.8548,2903.953,41620.0,71933.0,12.81
2026-08-30T07:59:24.307208,1,img_0097,ADRES,E,17.572,0.6864,0.7464,0.8548,2483.875,41620.0,43075.0,21.4
2026-08-30T07:59:31.425102,1,img_0098,ADRES,Q,22.477,0.7628,0.7464,0.8548,2893.498,41620.0,73508.0,12.54
2026-08-30T07:59:31.425102,1,img_0098,ADRES,E,17.595,0.6849,0.7464,0.8548,2453.06,41620.0,43639.0,21.12
2026-08-30T07:59:38.389019,1,img_0099,ADRES,Q,22.634,0.7654,0.7464,0.8548,2824.808,41620.0,70904.0,13.0
2026-08-30T07:59:38.389019,1,img_0099,ADRES,E,17.59,0.6841,0.7464,0.8548,2371.582,41620.0,42003.0,21.94
2026-08-30T07:59:45.618239,1,img_0100,ADRES,Q,22.495,0.7616,0.7464,0.8548,2960.149,41620.0,71147.0,12.95
